cluster_primary,PooledFundName,AllocationYear,OrganizationName,ProjectTitle,budget_usd,beneficiaries_total,cpb_usd_per_beneficiary,cpb_percentile_in_cluster,z_log10_cpb,flag_iqr_high,flag_z_high,flag_pct_high,flag_beneficiaries_gt_country_pop,outlier_reason,cluster_evidence
Nutrition,CAR,2018,Première Urgence Internationale,Amélioration de la réponse humanitaire en santé et en nutrition par la création d'une plateforme de stockage dédiée en République Centrafricaine,637500.0,4.0,159375.0,0.9978540772532188,6.417359652722215,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 6.42 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
WASH,oPt,2025,Save the Children,Rapid Emergency WASH Response for Displaced Households in Gaza Strip,500000.0,4.0,125000.0,0.9987102321582115,7.023591983817565,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 7.02 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
Food Security,oPt,2025,Agricultural Development Association,Providing life-saving emergency Cash Voucher Assistance (CVA) and hot meals to newly displaced households impacted by settler violence and military op,369863.7,4.0,92465.925,0.9981378026070763,5.066377767887713,True,True,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); Z-score 5.07 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th)",Food Security (keywords: voucher)
Education,Sudan,2017,United Nations Children's Fund,Monitoring and reporting support for Education Sector humanitarian pooled fund allocations in Sudan,92320.76,1.0,92320.76,1.0,6.7717609818717746,True,True,True,False,Above IQR upper fence for cluster (>683.82 USD/benef); Z-score 6.77 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th),Education (keywords: education)
Nutrition,Sudan,2017,United Nations Children's Fund,Monitoring and reporting support for nutrition Sector humanitarian pooled fund allocations in Sudan.,85947.75,1.0,85947.75,0.9971387696709585,5.963990375787671,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 5.96 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
Protection,Afghanistan,2016,Norwegian Refugee Council,Resourcing Afghanistan Protection Cluster Co-Lead,337321.93,4.0,84330.4825,0.9988066825775657,5.673394645270084,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 5.67 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),Protection (keywords: protection)
Nutrition,CAR,2018,World Food Programme,"Fournir des services de télécommunication d'urgence et d'accès internet à la communauté humanitaire dans la préfecture de la Mambéré-Kadéi et étendre internet dans les zones de Bria, Alindao et Bangassou",400000.01,6.0,66666.66833333333,0.9964234620886981,5.777484112692833,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 5.78 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th),Nutrition (keywords: mam)
Mine Action,Syria,2019,United Nations Office for Project Services,Protection of civilians in Syria through Explosive Ordnance Assessment Support to humanitarian actors in Northeast Syria,706845.87,12.0,58903.8225,1.0,4.352444124470179,True,True,True,False,"Above IQR upper fence for cluster (>1,472.04 USD/benef); Z-score 4.35 (log10 CPB) above cluster mean; 100.0th percentile CPB in cluster (>= 99th)","Mine Action (keywords: explosive, ordnance); also matched: Protection"
Food Security,Sudan,2017,Food and Agriculture Organization of the United Nations,"Procurement to restore food security and saving lives of the IDP and extremely vulnerable resident households in North Darfur, South Darfur, Central Darfur, Blue Nile, South Kordofan and West Kordofan States.",420003.7,11.0,38182.15454545455,0.9972067039106145,4.489883262483508,True,True,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); Z-score 4.49 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th)",Food Security (keywords: food security)
Health,Jordan,2016,Jordan Health Aid Society International,Supporting detection and response to diarrheal diseases (cholera) and setting up a diagnostic system for the diagnosis of most prevalent communicable diseases in southern Syria,317711.31,12.0,26475.9425,0.9988738738738738,5.100686059445533,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 5.10 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),Health (keywords: cholera)
Education,Syria Cross border,2019,International NGO,Risk Education Project in North West Syria - From Children to Children,247471.35,10.0,24747.135000000002,0.9987714987714987,5.552724204313126,True,True,True,False,Above IQR upper fence for cluster (>683.82 USD/benef); Z-score 5.55 (log10 CPB) above cluster mean; 99.9th percentile CPB in cluster (>= 99th),Education (keywords: education)
WASH,CAR,2018,Action Contre la Faim,Renforcement de la Coordination Sectorielle WASH au travers la co-facilitation du Cluster National WASH,97794.79,4.0,24448.6975,0.998280309544282,5.725823620018352,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 5.73 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
WASH,CAR,2019,Action Contre la Faim,Renforcement de la Coordination Sectorielle WASH au travers la Co-facilitation du Cluster National WASH,96000.0,4.0,24000.0,0.9978503869303526,5.711091642992063,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 5.71 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
Shelter/NFI,oPt,2025,Palestinian Housing Council,"Restoring Shelter Safety and Dignity: Integrated Emergency Shelter, NFI, and Technical Support for Displaced and Returning Households in Gaza City and Khan Younis",600000.0,40.0,15000.0,0.9972375690607734,3.9449700249894475,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 3.94 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th)","Shelter/NFI (keywords: shelter, nfi)"
Protection,Afghanistan,2017,Agency for Technical Cooperation and Development,REACH Support to Information Management in Hard to Reach Areas and Protection Cluster assessments,575080.93,48.0,11980.852708333334,0.9982100238663485,4.244730019607701,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 4.24 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),Protection (keywords: protection)
Nutrition,DRC,2019,Agency for Technical Cooperation and Development,"Restaurer l’accès des organisations humanitaires aux populations affectées par les crises humanitaires suite à la destruction partielle ou totale d’infrastructures routières de la zone de santé de Samba, dans la province du Maniema, et de la zone de santé de Munlungu, dans la province du Sud-Kivu.",890499.66,78.0,11416.662307692308,0.9957081545064378,4.481932380659891,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 4.48 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th),Nutrition (keywords: sam)
Health,Jordan,2016,Syrian American Medical Society Foundation,Providing support to facilities in Rural Damascus to address critical gaps in medical care for chronic disease through the provision of medication and dialysis supplies.,376363.73,35.0,10753.249428571427,0.9984984984984985,4.497593163361034,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 4.50 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),Health (keywords: medical)
Health,oPt,2025,World Health Organization,Supporting Emergency Health Response across the Gaza Strip 2025,1000000.01,100.0,10000.0001,0.9981231231231231,4.448983888994011,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 4.45 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),Health (keywords: health)
Nutrition,DRC,2019,Cooperazione Internazionale - COOPI,IM &amp; Co-facilitateur Cluster Nutrition RDC,244312.28,27.0,9048.602962962963,0.9949928469241774,4.311263001796053,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 4.31 (log10 CPB) above cluster mean; 99.5th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
Shelter/NFI,Ethiopia,2016,Norwegian Refugee Council,Lifesaving Emergency Shelter and Non-Food Items Response for El-Nino Affected IDPs,890339.84,100.0,8903.3984,0.9965469613259669,3.5787607837859556,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 3.58 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th)","Shelter/NFI (keywords: shelter, non-food)"
Protection,Syria Cross border,2016,International NGO,Case Management Capacity Building Programme,462130.65,52.0,8887.127884615385,0.9976133651551312,4.026044400218493,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 4.03 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),Protection (keywords: case management)
Education,DRC,2019,Save the Children,Renforcement des capacités du Cluster Education et du Sous-Cluster Protection de l’Enfant au niveau national et provincial en RDC,393368.71,50.0,7867.3742,0.9975429975429976,4.491626314293155,True,True,True,False,Above IQR upper fence for cluster (>683.82 USD/benef); Z-score 4.49 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),Education (keywords: education); also matched: Protection
Health,Jordan,2017,Jordan paramedic society,Secondary and tertiary referral care for priority cases of war-wounded including supporting priority medical referrals from the eastern and western borders.,399963.86,52.0,7691.612692307692,0.9977477477477478,4.27331295248669,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 4.27 (log10 CPB) above cluster mean; 99.8th percentile CPB in cluster (>= 99th),"Health (keywords: medical, referral)"
Shelter/NFI,Afghanistan,2016,Agency for Technical Cooperation and Development,Supporting shelter/NFI needs assessments to inform humanitarian action in Afghanistan,205618.69,28.0,7343.524642857143,0.9958563535911602,3.4435331152365207,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 3.44 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th)","Shelter/NFI (keywords: shelter, nfi)"
Shelter/NFI,Afghanistan,2022,International Organization for Migration,Technical support to ESNFI Cluster partners responding to the 22 June earthquake in Paktika and Khost,937905.38,135.0,6947.447259259259,0.9951657458563536,3.4046073692566563,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 3.40 (log10 CPB) above cluster mean; 99.5th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: nfi)
Shelter/NFI,Afghanistan,2016,Norwegian Refugee Council,"Multi-Purpose Cash PDM and Shelter/ Tenure Assessment for the Coordinated Response to Vulnerable, Undocumented Returnees in Eastern Afghanistan",50000.01,8.0,6250.00125,0.994475138121547,3.330334049226784,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 3.33 (log10 CPB) above cluster mean; 99.4th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: shelter)
Protection,Syria Cross border,2017,UN Agency,Protection of civilians in Syria through humanitarian mine action,1200000.39,200.0,6000.00195,0.997016706443914,3.7384391725605726,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 3.74 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),Protection (keywords: protection); also matched: Mine Action
Nutrition,Somalia,2025,Action for Social and Economic Progress,"Facilitate inclusive, sustained, community-led engagement in Jowhar, and provide technical support on the same to CE partners in Baidoa, Jamaame, and Afmadow.",394975.95,76.0,5197.051973684211,0.994277539341917,3.9041479963632613,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 3.90 (log10 CPB) above cluster mean; 99.4th percentile CPB in cluster (>= 99th),Nutrition (keywords: sam)
Shelter/NFI,oPt,2015,Mercy Corps,Housing rehabilitation for acutely-vulnerable food Insecure households with  persons with disabilities,249586.72,50.0,4991.7344,0.9937845303867403,3.172511033069878,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 3.17 (log10 CPB) above cluster mean; 99.4th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: housing)
Health,Somalia,2011,World Health Organization,Health cluster coordination and emergency preparedness in Somalia,151679.0,35.0,4333.685714285714,0.9973723723723724,3.889305473778958,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 3.89 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),Health (keywords: health)
Health,Jordan,2021,Qatar Red Crescent Society,"Provision of secondary medical intervention for renal patients through supporting the hemodialysis and medications. (Kidney Dialysis for Syrian Refugees in out of
camp setting (14th Phase)",304665.36,75.0,4062.2048,0.996996996996997,3.8460043028878363,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 3.85 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),Health (keywords: medical)
Health,Jordan,2018,Jordan paramedic society,Supporting emergency medical referral and care for patients arriving cross border from southern Syria to Jordan or who are presently in country,399997.03,99.0,4040.374040404041,0.9966216216216216,3.8423975008325795,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 3.84 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),"Health (keywords: medical, referral)"
Health,Jordan,2020,Qatar Red Crescent Society,Provision of safe accessible lifesaving secondary health services for renal failure patients among Syrian refugees in out-of-camp setting,300002.59,75.0,4000.0345333333335,0.9962462462462462,3.835681174507568,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 3.84 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th),Health (keywords: health)
Shelter/NFI,CAR,2016,Agency for Technical Cooperation and Development,Co-facilitation du cluster Abris/NFI en RCA,100000.0,25.0,4000.0,0.9930939226519337,3.0170112740296644,True,True,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); Z-score 3.02 (log10 CPB) above cluster mean; 99.3th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: nfi)
Protection,CAR,2015,International Rescue Committee,"Renforcer les capacités organisationnelles des ONG Centrafricains dans les domaines le l’appui économique, la santé, et la protection",467257.17,120.0,3893.80975,0.9964200477326969,3.4218953713524316,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 3.42 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th),Protection (keywords: protection)
Health,Jordan,2022,Qatar Red Crescent Society,"Provision of secondary medical intervention for renal patients through supporting the hemodialysis and medications. (Kidney Dialysis for Syrian Refugees in out of
camp setting (16th Phase)",400000.02,112.0,3571.42875,0.9958708708708709,3.7598201991201847,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 3.76 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th),Health (keywords: medical)
Food Security,oPt,2025,Food and Agriculture Organization of the United Nations,Time-critical support to farming households in the Gaza Strip to help reactivate local agrifood production and restore conflict-affected livelihoods,700000.0,200.0,3500.0,0.9962756052141527,2.9323501906671496,True,False,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); 99.6th percentile CPB in cluster (>= 99th)",Food Security (keywords: livelihood)
Nutrition,DRC,2020,Cooperazione Internazionale - COOPI,IM &amp; Co-facilitateur Cluster Nutrition RDC,187999.98,57.0,3298.245263157895,0.9935622317596566,3.5703169964660537,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 3.57 (log10 CPB) above cluster mean; 99.4th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
WASH,CAR,2020,Action Contre la Faim,Renforcement de la Coordination Sectorielle WASH au travers la Co-facilitation du Cluster National WASH,51824.34,16.0,3239.02125,0.9974204643164231,4.118219591287759,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 4.12 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
Food Security,Syria,2023,Norwegian Refugee Council,Livelihoods Support to the Earthquake affected Households is Lattakia,249999.93,78.0,3205.1273076923076,0.9953445065176909,2.8749849473791453,True,False,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); 99.5th percentile CPB in cluster (>= 99th)",Food Security (keywords: livelihood)
Health,oPt,2019,DanChurchAid,Safe and secure trauma for Gaza vulnerable people.,395824.37,130.0,3044.802846153846,0.9954954954954955,3.653040944620727,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 3.65 (log10 CPB) above cluster mean; 99.5th percentile CPB in cluster (>= 99th),Health (keywords: trauma)
Mine Action,Afghanistan,2021,United Nations Office for Project Services,Improvised Explosive Device (IED)-focused Hostile Environment Training for Humanitarian Organizations,300000.48,100.0,3000.0047999999997,0.9926470588235294,2.737904519974027,True,False,True,False,"Above IQR upper fence for cluster (>1,472.04 USD/benef); 99.3th percentile CPB in cluster (>= 99th)",Mine Action (keywords: explosive)
Protection,DRC,2020,Norwegian Refugee Council,Appui à la coordination des Clusters Protection et Abris/AME en RDC,365138.17,124.0,2944.6626612903224,0.9958233890214797,3.2173483088256067,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 3.22 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th),Protection (keywords: protection)
Nutrition,Afghanistan,2014,Action Contre la Faim,"Strengthening nutrition interventions design, monitoring and evaluation in Afghanistan",876510.73,311.0,2818.3624758842443,0.9928469241773963,3.454878995260197,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 3.45 (log10 CPB) above cluster mean; 99.3th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
Food Security,Syria,2023,Première Urgence Internationale,Providing emergency livelihood support to local shops and businesses affected by earthquakes in Aleppo and Lattakia governorates (Priority 2),500000.0,180.0,2777.777777777778,0.994413407821229,2.7817126976143616,True,False,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); 99.4th percentile CPB in cluster (>= 99th)",Food Security (keywords: livelihood)
Protection,Lebanon,2018,ASSOCIATION DES JEUNES ISLAMIQUES,Specialized Services for Refugee Children with Disabilities – Child Protection,386505.4,140.0,2760.7528571428575,0.9952267303102625,3.170133896245044,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 3.17 (log10 CPB) above cluster mean; 99.5th percentile CPB in cluster (>= 99th),"Protection (keywords: protection, child protection)"
Nutrition,Afghanistan,2015,Action Contre la Faim,"Strengthening nutrition interventions design, monitoring and evaluation in Afghanistan.",440000.0,160.0,2750.0,0.9921316165951359,3.4368511880505186,True,True,True,False,Above IQR upper fence for cluster (>454.63 USD/benef); Z-score 3.44 (log10 CPB) above cluster mean; 99.2th percentile CPB in cluster (>= 99th),Nutrition (keywords: nutrition)
Food Security,Lebanon,2025,DAN CHURCH AID,Strengthening food Security for Drought and Crisis-Affected Farmers,472000.39,175.0,2697.145085714286,0.9934823091247672,2.762512501642736,True,False,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); 99.3th percentile CPB in cluster (>= 99th)",Food Security (keywords: food security)
Food Security,Afghanistan,2019,Food and Agriculture Organization of the United Nations,Integrated Food Security Phase Classification (IPC),200000.08,75.0,2666.667733333333,0.9925512104283054,2.7551053813115467,True,False,True,False,"Above IQR upper fence for cluster (>1,584.57 USD/benef); 99.3th percentile CPB in cluster (>= 99th)",Food Security (keywords: food security)
Health,Jordan,2016,Jordan paramedic society,Secondary referral care for priority cases of war-wounded including supporting priority medical referrals from the eastern and western borders.,399978.28,150.0,2666.521866666667,0.9951201201201201,3.56424572120189,True,True,True,False,Above IQR upper fence for cluster (>213.45 USD/benef); Z-score 3.56 (log10 CPB) above cluster mean; 99.5th percentile CPB in cluster (>= 99th),"Health (keywords: medical, referral)"
WASH,CAR,2016,Action Contre la Faim,Cofacilitation du Cluster National WASH,100001.13,40.0,2500.0282500000003,0.9969905417024936,3.912253778766202,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 3.91 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
Protection,Lebanon,2016,Caritas Lebanon,Holistic Protection Services for GBV Survivors,499164.83,210.0,2376.975380952381,0.9946300715990454,3.0605555928908252,True,True,True,False,Above IQR upper fence for cluster (>776.45 USD/benef); Z-score 3.06 (log10 CPB) above cluster mean; 99.5th percentile CPB in cluster (>= 99th),"Protection (keywords: protection, gbv)"
Shelter/NFI,Lebanon,2018,MEDAIR,The provision of Shelter assistance to the most vulnerable populations affected by the Syrian Crisis living in Mount Lebanon,487091.85,210.0,2319.4849999999997,0.9924033149171271,2.6344214281974074,True,False,True,False,"Above IQR upper fence for cluster (>1,023.89 USD/benef); 99.2th percentile CPB in cluster (>= 99th)",Shelter/NFI (keywords: shelter)
WASH,oPt,2015,Palestinian Al Nakheel Association for Progress and Development,"Improving the disturbed agricultural land (soil, vegetation, water) Khan Younis Governance to achieve land capability equivalent to the pre disturbed condition before the war of  July 2014 on Gaza",249631.0,110.0,2269.3727272727274,0.9965606190885641,3.835267023095605,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 3.84 (log10 CPB) above cluster mean; 99.7th percentile CPB in cluster (>= 99th),WASH (keywords: water); also matched: Food Security
WASH,CAR,2017,Action Contre la Faim,Co-facilitation du Cluster National WASH,120000.0,54.0,2222.222222222222,0.9961306964746346,3.8185684720087636,True,True,True,False,Above IQR upper fence for cluster (>211.53 USD/benef); Z-score 3.82 (log10 CPB) above cluster mean; 99.6th percentile CPB in cluster (>= 99th),WASH (keywords: wash)
